Reference	Abbr	Text
John 4:38	Jn 4:38	I sent you to reap that for which you did not labor. Others have labored, and you have entered into their labor.” 
John 4:39	Jn 4:39	Many Samaritans from that town believed in him because of the woman’s testimony, “He told me all that I ever did.” 
John 4:40	Jn 4:40	So when the Samaritans came to him, they asked him to stay with them, and he stayed there two days. 
John 4:41	Jn 4:41	And many more believed because of his word. 
John 4:42	Jn 4:42	They said to the woman, “It is no longer because of what you said that we believe, for we have heard for ourselves, and we know that this is indeed the Savior of the world.” 
John 4:43	Jn 4:43	After the two days he departed for Galilee. 
John 4:44	Jn 4:44	(For Jesus himself had testified that a prophet has no honor in his own hometown.) 
John 4:45	Jn 4:45	So when he came to Galilee, the Galileans welcomed him, having seen all that he had done in Jerusalem at the feast. For they too had gone to the feast. 
John 4:46	Jn 4:46	So he came again to Cana in Galilee, where he had made the water wine. And at Capernaum there was an official whose son was ill. 
John 4:47	Jn 4:47	When this man heard that Jesus had come from Judea to Galilee, he went to him and asked him to come down and heal his son, for he was at the point of death. 
John 4:48	Jn 4:48	So Jesus said to him, “Unless you see signs and wonders you will not believe.” 
John 4:49	Jn 4:49	The official said to him, “Sir, come down before my child dies.” 
John 4:50	Jn 4:50	Jesus said to him, “Go; your son will live.” The man believed the word that Jesus spoke to him and went on his way. 
John 4:51	Jn 4:51	As he was going down, his servants met him and told him that his son was recovering. 
John 4:52	Jn 4:52	So he asked them the hour when he began to get better, and they said to him, “Yesterday at the seventh hour the fever left him.” 
John 4:53	Jn 4:53	The father knew that was the hour when Jesus had said to him, “Your son will live.” And he himself believed, and all his household. 
John 4:54	Jn 4:54	This was now the second sign that Jesus did when he had come from Judea to Galilee. 
John 5:1	Jn 5:1	After this there was a feast of the Jews, and Jesus went up to Jerusalem. 
John 5:2	Jn 5:2	Now there is in Jerusalem by the Sheep Gate a pool, in Aramaic called Bethesda, which has five roofed colonnades. 
John 5:3	Jn 5:3	In these lay a multitude of invalids—blind, lame, and paralyzed. 
John 5:5	Jn 5:5	One man was there who had been an invalid for thirty-eight years. 
John 5:6	Jn 5:6	When Jesus saw him lying there and knew that he had already been there a long time, he said to him, “Do you want to be healed?” 
John 5:7	Jn 5:7	The sick man answered him, “Sir, I have no one to put me into the pool when the water is stirred up, and while I am going another steps down before me.” 
John 5:8	Jn 5:8	Jesus said to him, “Get up, take up your bed, and walk.” 
John 5:9	Jn 5:9	And at once the man was healed, and he took up his bed and walked.  Now that day was the Sabbath. 
John 5:10	Jn 5:10	So the Jews said to the man who had been healed, “It is the Sabbath, and it is not lawful for you to take up your bed.” 
John 5:11	Jn 5:11	But he answered them, “The man who healed me, that man said to me, ‘Take up your bed, and walk.’ ” 
John 5:12	Jn 5:12	They asked him, “Who is the man who said to you, ‘Take up your bed and walk’?” 
John 5:13	Jn 5:13	Now the man who had been healed did not know who it was, for Jesus had withdrawn, as there was a crowd in the place. 
John 5:14	Jn 5:14	Afterward Jesus found him in the temple and said to him, “See, you are well! Sin no more, that nothing worse may happen to you.” 
John 5:15	Jn 5:15	The man went away and told the Jews that it was Jesus who had healed him. 
John 5:16	Jn 5:16	And this was why the Jews were persecuting Jesus, because he was doing these things on the Sabbath. 
John 5:17	Jn 5:17	But Jesus answered them, “My Father is working until now, and I am working.” 
John 5:18	Jn 5:18	This was why the Jews were seeking all the more to kill him, because not only was he breaking the Sabbath, but he was even calling God his own Father, making himself equal with God. 
John 5:19	Jn 5:19	So Jesus said to them, “Truly, truly, I say to you, the Son can do nothing of his own accord, but only what he sees the Father doing. For whatever the Father does, that the Son does likewise. 
John 5:20	Jn 5:20	For the Father loves the Son and shows him all that he himself is doing. And greater works than these will he show him, so that you may marvel. 
John 5:21	Jn 5:21	For as the Father raises the dead and gives them life, so also the Son gives life to whom he will. 
John 5:22	Jn 5:22	For the Father judges no one, but has given all judgment to the Son, 
John 5:23	Jn 5:23	that all may honor the Son, just as they honor the Father. Whoever does not honor the Son does not honor the Father who sent him. 
John 5:24	Jn 5:24	Truly, truly, I say to you, whoever hears my word and believes him who sent me has eternal life. He does not come into judgment, but has passed from death to life. 
John 5:25	Jn 5:25	“Truly, truly, I say to you, an hour is coming, and is now here, when the dead will hear the voice of the Son of God, and those who hear will live. 
John 5:26	Jn 5:26	For as the Father has life in himself, so he has granted the Son also to have life in himself. 
John 5:27	Jn 5:27	And he has given him authority to execute judgment, because he is the Son of Man. 
John 5:28	Jn 5:28	Do not marvel at this, for an hour is coming when all who are in the tombs will hear his voice 
John 5:29	Jn 5:29	and come out, those who have done good to the resurrection of life, and those who have done evil to the resurrection of judgment. 
John 5:30	Jn 5:30	“I can do nothing on my own. As I hear, I judge, and my judgment is just, because I seek not my own will but the will of him who sent me. 
John 5:31	Jn 5:31	If I alone bear witness about myself, my testimony is not true. 
John 5:32	Jn 5:32	There is another who bears witness about me, and I know that the testimony that he bears about me is true. 
John 5:33	Jn 5:33	You sent to John, and he has borne witness to the truth. 
John 5:34	Jn 5:34	Not that the testimony that I receive is from man, but I say these things so that you may be saved. 
John 5:35	Jn 5:35	He was a burning and shining lamp, and you were willing to rejoice for a while in his light. 
John 5:36	Jn 5:36	But the testimony that I have is greater than that of John. For the works that the Father has given me to accomplish, the very works that I am doing, bear witness about me that the Father has sent me. 
John 5:37	Jn 5:37	And the Father who sent me has himself borne witness about me. His voice you have never heard, his form you have never seen, 
John 5:38	Jn 5:38	and you do not have his word abiding in you, for you do not believe the one whom he has sent. 
John 5:39	Jn 5:39	You search the Scriptures because you think that in them you have eternal life; and it is they that bear witness about me, 
John 5:40	Jn 5:40	yet you refuse to come to me that you may have life. 
John 5:41	Jn 5:41	I do not receive glory from people. 
John 5:42	Jn 5:42	But I know that you do not have the love of God within you. 
John 5:43	Jn 5:43	I have come in my Father’s name, and you do not receive me. If another comes in his own name, you will receive him. 
John 5:44	Jn 5:44	How can you believe, when you receive glory from one another and do not seek the glory that comes from the only God? 
John 5:45	Jn 5:45	Do not think that I will accuse you to the Father. There is one who accuses you: Moses, on whom you have set your hope. 
John 5:46	Jn 5:46	For if you believed Moses, you would believe me; for he wrote of me. 
John 5:47	Jn 5:47	But if you do not believe his writings, how will you believe my words?” 
John 6:1	Jn 6:1	After this Jesus went away to the other side of the Sea of Galilee, which is the Sea of Tiberias. 
John 6:2	Jn 6:2	And a large crowd was following him, because they saw the signs that he was doing on the sick. 
John 6:3	Jn 6:3	Jesus went up on the mountain, and there he sat down with his disciples. 
John 6:4	Jn 6:4	Now the Passover, the feast of the Jews, was at hand. 
John 6:5	Jn 6:5	Lifting up his eyes, then, and seeing that a large crowd was coming toward him, Jesus said to Philip, “Where are we to buy bread, so that these people may eat?” 
John 6:6	Jn 6:6	He said this to test him, for he himself knew what he would do. 
John 6:7	Jn 6:7	Philip answered him, “Two hundred denarii worth of bread would not be enough for each of them to get a little.” 
John 6:8	Jn 6:8	One of his disciples, Andrew, Simon Peter’s brother, said to him, 
John 6:9	Jn 6:9	“There is a boy here who has five barley loaves and two fish, but what are they for so many?” 
John 6:10	Jn 6:10	Jesus said, “Have the people sit down.” Now there was much grass in the place. So the men sat down, about five thousand in number. 
John 6:11	Jn 6:11	Jesus then took the loaves, and when he had given thanks, he distributed them to those who were seated. So also the fish, as much as they wanted. 
John 6:12	Jn 6:12	And when they had eaten their fill, he told his disciples, “Gather up the leftover fragments, that nothing may be lost.” 
John 6:13	Jn 6:13	So they gathered them up and filled twelve baskets with fragments from the five barley loaves left by those who had eaten. 
John 6:14	Jn 6:14	When the people saw the sign that he had done, they said, “This is indeed the Prophet who is to come into the world!” 
John 6:15	Jn 6:15	Perceiving then that they were about to come and take him by force to make him king, Jesus withdrew again to the mountain by himself. 
John 6:16	Jn 6:16	When evening came, his disciples went down to the sea, 
John 6:17	Jn 6:17	got into a boat, and started across the sea to Capernaum. It was now dark, and Jesus had not yet come to them. 
John 6:18	Jn 6:18	The sea became rough because a strong wind was blowing. 
John 6:19	Jn 6:19	When they had rowed about three or four miles, they saw Jesus walking on the sea and coming near the boat, and they were frightened. 
John 6:20	Jn 6:20	But he said to them, “It is I; do not be afraid.” 
John 6:21	Jn 6:21	Then they were glad to take him into the boat, and immediately the boat was at the land to which they were going. 
John 6:22	Jn 6:22	On the next day the crowd that remained on the other side of the sea saw that there had been only one boat there, and that Jesus had not entered the boat with his disciples, but that his disciples had gone away alone. 
John 6:23	Jn 6:23	Other boats from Tiberias came near the place where they had eaten the bread after the Lord had given thanks. 
John 6:24	Jn 6:24	So when the crowd saw that Jesus was not there, nor his disciples, they themselves got into the boats and went to Capernaum, seeking Jesus. 
John 6:25	Jn 6:25	When they found him on the other side of the sea, they said to him, “Rabbi, when did you come here?” 
